施設種別,都道府県,市区町村,施設名,住所,郵便番号,設置者法人名,運営委託先法人名,設置区分,設置パターン,定員合計,在籍児童合計,充足率,開所時間,開所曜日,施設HP,出典
幼稚園,三重県,三重郡川越町,川越町立川越幼稚園,三重県三重郡川越町豊田一色３８４－１,510-8123,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,三重郡朝日町,朝日町立朝日幼稚園,三重県三重郡朝日町小向２０６８－１,510-8102,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,三重郡菰野町,菰野町立千種幼稚園,三重県三重郡菰野町大字音羽２２４０,510-1252,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,三重郡菰野町,菰野町立竹永幼稚園,三重県三重郡菰野町大字永井５９,510-1311,,,公立,,,,,,,,文部科学省_学校コード一覧
幼保連携型認定こども園,三重県,亀山市,みずきが丘道伯幼稚園,三重県亀山市みずきが丘８１,519-0181,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,亀山市,亀山市立みずほ台幼稚園,三重県亀山市みずほ台１４番地の２９５,519-0105,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,亀山市,亀山市立亀山幼稚園,三重県亀山市江ヶ室１丁目２番１０号,519-0121,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,亀山市,亀山市立亀山東幼稚園,三重県亀山市本町１丁目９番１７号,519-0116,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,亀山市,亀山市立井田川幼稚園,三重県亀山市みどり町５３番地の１,519-0106,,,公立,,,,,,,,文部科学省_学校コード一覧
企業主導型保育園,三重県,伊勢市,医療法人全心会 伊勢けいゆう塾保育園,三重県伊勢市御薗町高向810-14,,医療法人 全心会,,,5.「病院・介護施設・学校内設置型」病院、介護施設又は学校内に設置,119,109,91.60%,07:00～20:00（延長05:30～23:00）,月 火 水 木 金 土 日,,児童育成協会_2026年1月施設一覧
幼稚園,三重県,伊勢市,まるこ幼稚園,三重県伊勢市一之木１－８－３,516-0071,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,伊勢市,伊勢市立小俣幼稚園,三重県伊勢市小俣町本町１,519-0505,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,伊勢市,伊勢市立明野幼稚園,三重県伊勢市小俣町明野１４８１,519-0501,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,伊勢市,双康幼稚園,三重県伊勢市黒瀬町５６２－１３,516-0018,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,伊勢市,和順幼稚園,三重県伊勢市小俣町元町２１４番地３,519-0503,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,伊勢市,常盤幼稚園,三重県伊勢市岩渕１－６－３２,516-0037,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,伊勢市,神宮五十鈴川幼稚園,三重県伊勢市宇治中之切町３８－２,516-0025,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,伊勢市,神宮高倉山幼稚園,三重県伊勢市八日市場町１７－２０,516-0076,,,私立,,,,,,,,文部科学省_学校コード一覧
企業主導型保育園,三重県,伊賀市,DMG MORI伊賀保育園,三重県伊賀市御代201,,ＤＭＧ森精機株式会社,株式会社ポピンズエデュケア,,6.「事業所内設置型」上記以外で事業所の敷地（建物）内に設置,50,16,32%,07:15～18:15（延長07:15～19:00）,月 火 水 木 金,,児童育成協会_2026年1月施設一覧
企業主導型保育園,三重県,伊賀市,どんぐり保育園,三重県伊賀市ゆめが丘6丁目1-1,,株式会社 中田商事,,,2.「住宅地型」駅等近接以外の住宅地に設置,19,19,100%,07:30～20:30,月 火 水 木 金 土,,児童育成協会_2026年1月施設一覧
